appliance,mae,rmse,r2,energy_precision,energy_recall,energy_f1,nep
Appliance1,41.09244948367988,45.26350539701201,0.006335602284052166,0.403012849433299,0.42094012654466884,0.4117814603150767,1.2026028871792132
Appliance2,35.17989339589865,177.7402000303638,0.0482484562012746,0.09541879357521202,0.09226712601798782,0.09381649801296481,1.7824359072048246
Appliance3,109.54271445677253,322.63285715871706,0.13221793446785157,0.1640504177585026,0.20617804537600265,0.18271741826763066,1.844440741545708
Appliance4,6.92816709095809,14.525884447137074,0.029890705925723404,0.1269895275372298,0.13472435153163867,0.13074264008948822,1.7914604454658503
Appliance5,7.105041284916017,62.03843995990413,0.012925800738453286,0.015521081019293271,0.014875684304696312,0.015191530996780205,1.9286666878523508
Appliance6,2.946131865053182,36.96304055354837,0.002560464969741494,0.004409823187636783,0.004862487478854564,0.0046251060399295964,2.0929241045987808
Appliance7,1.7719917232178084,6.189565884800809,-0.009632111606138416,0.0492861631312025,0.10566070372913727,0.06721801848688891,2.932499434262811
Appliance8,42.714805596300494,214.5355538092231,0.1287464768246217,0.08447062169862946,0.11912903179846365,0.09884990672163099,2.172043286184621
Appliance9,0.6278741564924004,4.675487648590349,0.0011834043121902171,0.00928273594781843,0.011110583947609314,0.010114745175438646,2.1746871584932372
others,169.7851142165028,401.2431365993323,0.8100960070336853,0.7876596364423774,0.7314016674364902,0.7584889036345478,0.4657724529381261
